Sample,SiO2,TiO2,Al2O3,Cr2O3,FeO2,MnO,MgO,CaO,V2O5,NiO,ZnO,Total,Fe2O3,FeO,Si,Ti,Al,Cr,Fe3+,Fe2+,Mn,Mg,Ca,V,Ni,Zn,MgAl2O4,FeAl2O4,MgFe2O4,FeFe2O4,MgCr2O4,FeCr2O4,Mg2TiO4,Fe2TiO4
2,0.1300,0.5100,26.8100,36.1900,17.6100,0.1700,15.6900,0.0400,0.1600,0.2500,0.3100,97.8600,6.7000,11.5800,0.0040,0.0110,0.9520,0.8620,0.1520,0.2920,0.0040,0.7050,0.0010,0.0040,0.0060,0.0070,3.1600,0.6270,0.5040,0.1000,2.8620,0.5680,0.0380,0.0080
23,0.0100,0.3900,24.9700,38.4100,22.1700,0.2400,11.8800,0.0100,0.0900,0.2700,0.2800,98.7200,5.6300,17.1100,0.0000,0.0090,0.9100,0.9390,0.1310,0.4420,0.0060,0.5480,0.0000,0.0020,0.0070,0.0060,2.2900,1.3020,0.3300,0.1870,2.3630,1.3440,0.0230,0.0130
c1,0.0600,0.5400,25.3100,38.7500,19.9900,0.0500,13.0700,0.0000,0.2300,0.0000,0.3000,98.2900,4.6100,15.8400,0.0020,0.0120,0.9170,0.9420,0.1070,0.4070,0.0010,0.5990,0.0000,0.0060,0.0000,0.0070,2.4480,1.2280,0.2850,0.1430,2.5140,1.2620,0.0330,0.0170
c2,0.0200,0.3500,27.4900,37.4700,15.7000,0.0000,16.6100,0.0100,0.1600,0.0200,0.1100,97.9300,5.6300,10.6300,0.0000,0.0080,0.9680,0.8850,0.1270,0.2660,0.0000,0.7400,0.0000,0.0040,0.0000,0.0020,3.2700,0.6140,0.4280,0.0800,2.9900,0.5620,0.0270,0.0050
48,0.0900,0.3700,23.7900,41.4700,17.7300,0.3300,15.1700,0.0200,0.1900,0.2800,0.0000,99.4500,5.9700,12.3600,0.0030,0.0080,0.8470,0.9900,0.1360,0.3120,0.0080,0.6830,0.0000,0.0050,0.0070,0.0000,2.6790,0.6920,0.4290,0.1110,3.1330,0.8100,0.0270,0.0070
c3,0.0700,0.4400,27.8300,36.3800,14.6600,0.0500,16.9300,0.0200,0.1700,0.3100,0.4300,97.2900,5.7300,9.5100,0.0020,0.0100,0.9820,0.8610,0.1290,0.2380,0.0010,0.7550,0.0010,0.0040,0.0070,0.0100,3.4070,0.4920,0.4480,0.0650,2.9870,0.4310,0.0340,0.0050
37,0.1700,0.3900,27.3400,40.3800,15.4700,0.2200,16.8500,0.0600,0.0700,0.3200,0.0400,101.3000,4.9200,11.0400,0.0050,0.0090,0.9360,0.9280,0.1080,0.2680,0.0050,0.7300,0.0020,0.0020,0.0070,0.0010,3.0650,0.6750,0.3520,0.0780,3.0370,0.6690,0.0280,0.0060
45,0.2800,0.6000,22.4700,46.8200,14.8700,0.5100,16.0800,0.1700,0.1800,0.4600,0.0300,102.4500,3.6600,11.5800,0.0080,0.0130,0.7810,1.0910,0.0810,0.2850,0.0130,0.7070,0.0050,0.0040,0.0110,0.0010,2.4110,0.6970,0.2510,0.0720,3.3710,0.9740,0.0410,0.0120
a,0.1600,0.4000,27.2300,38.8500,16.5600,0.1800,16.8500,0.0100,0.0000,0.4200,0.1200,100.7700,6.4200,10.7800,0.0050,0.0090,0.9360,0.8960,0.1410,0.2630,0.0040,0.7330,0.0000,0.0000,0.0100,0.0030,3.1940,0.5320,0.4810,0.0800,3.0570,0.5090,0.0300,0.0050
e,0.2200,0.2200,23.1600,39.8800,21.1700,0.5100,13.6500,0.1200,0.1700,0.2900,0.1700,99.5600,7.7300,14.2200,0.0070,0.0050,0.8330,0.9620,0.1770,0.3630,0.0130,0.6210,0.0040,0.0040,0.0070,0.0040,2.5290,0.7550,0.5390,0.1610,2.9210,0.8720,0.0150,0.0050
