umap1,umap2,cat
7.202085,-5.8761473,Alaskan ultramafic
6.286942,-5.867522,Alaskan ultramafic
6.6211567,-6.195946,Alaskan ultramafic
6.8691487,-5.830343,Alaskan ultramafic
6.3929095,-5.774627,Alaskan ultramafic
9.8197975,3.417511,Alaskan ultramafic
6.753804,-6.159336,Alaskan ultramafic
6.778893,-5.8123612,Alaskan ultramafic
9.826449,3.4307191,Alaskan ultramafic
9.82136,3.4293334,Alaskan ultramafic
6.3572345,-5.7768373,Alaskan ultramafic
6.522267,-6.237317,Alaskan ultramafic
6.2637715,-5.770158,Alaskan ultramafic
6.8722653,-5.6709065,Alaskan ultramafic
6.7954016,-5.4966965,Alaskan ultramafic
6.203811,-5.7660694,Alaskan ultramafic
6.1377826,-5.7623277,Alaskan ultramafic
6.144945,-5.7618413,Alaskan ultramafic
6.168012,-5.7507024,Alaskan ultramafic
6.2736735,-5.7863884,Alaskan ultramafic
6.217633,-5.821012,Alaskan ultramafic
6.048122,-5.784996,Alaskan ultramafic
6.010308,-5.7725353,Alaskan ultramafic
-8.925317,9.748892,Alaskan ultramafic
6.2695208,-5.788838,Alaskan ultramafic
6.251419,-5.799123,Alaskan ultramafic
6.2575903,-5.800319,Alaskan ultramafic
6.5393953,-6.2250037,Alaskan ultramafic
6.5433655,-6.2845097,Alaskan ultramafic
6.505439,-6.2554026,Alaskan ultramafic
-4.5286784,11.247831,Alaskan ultramafic
8.477251,4.4954286,Alaskan ultramafic
-4.595065,11.3508415,Alaskan ultramafic
12.917111,19.137032,Alaskan ultramafic
6.7367506,7.630056,Alaskan ultramafic
0.16598184,-0.03343789,Alaskan ultramafic
6.309609,-5.0665483,Alaskan ultramafic
-4.501427,11.192283,Alaskan ultramafic
3.038294,-1.8278013,Alaskan ultramafic
-4.5029993,11.195448,Alaskan ultramafic
3.0858984,-1.8752209,Alaskan ultramafic
-4.5087776,11.205778,Alaskan ultramafic
3.0371156,-1.8271918,Alaskan ultramafic
6.802875,5.8897934,Alaskan ultramafic
6.8027434,5.883693,Alaskan ultramafic
6.8030853,5.8832607,Alaskan ultramafic
6.4165673,-5.1556034,Alaskan ultramafic
