umap1,umap2,cat
13.014998,-6.3797154,Alaskan ultramafic
13.009122,-6.5413566,Alaskan ultramafic
12.47186,-5.847951,Alaskan ultramafic
13.089167,-6.421629,Alaskan ultramafic
13.034856,-6.5617194,Alaskan ultramafic
13.208344,-6.5802193,Alaskan ultramafic
12.61335,-5.8639107,Alaskan ultramafic
13.074809,-6.488713,Alaskan ultramafic
13.349386,-6.6235943,Alaskan ultramafic
13.305742,-6.5496,Alaskan ultramafic
13.056212,-6.581884,Alaskan ultramafic
12.498005,-5.849359,Alaskan ultramafic
13.054575,-6.5502963,Alaskan ultramafic
13.106698,-6.4831486,Alaskan ultramafic
13.248443,-6.52847,Alaskan ultramafic
13.061525,-6.569522,Alaskan ultramafic
13.120376,-6.563316,Alaskan ultramafic
13.053364,-6.5800586,Alaskan ultramafic
13.06096,-6.577041,Alaskan ultramafic
13.056304,-6.551692,Alaskan ultramafic
13.003356,-6.554534,Alaskan ultramafic
13.072701,-6.593482,Alaskan ultramafic
13.065758,-6.5494137,Alaskan ultramafic
11.550713,-5.138717,Alaskan ultramafic
13.067907,-6.5606375,Alaskan ultramafic
12.996043,-6.5928802,Alaskan ultramafic
13.042686,-6.553788,Alaskan ultramafic
12.491935,-5.8562436,Alaskan ultramafic
12.410933,-5.849468,Alaskan ultramafic
12.422414,-5.8626466,Alaskan ultramafic
11.445672,-4.70105,Alaskan ultramafic
11.766122,-5.917351,Alaskan ultramafic
11.467234,-4.855528,Alaskan ultramafic
7.9647036,5.0487437,Alaskan ultramafic
-11.33532,5.179,Alaskan ultramafic
7.5969625,6.429725,Alaskan ultramafic
7.6527963,6.3959637,Alaskan ultramafic
11.364745,-4.989512,Alaskan ultramafic
11.535042,-5.122784,Alaskan ultramafic
11.381869,-5.006372,Alaskan ultramafic
11.54415,-5.1402297,Alaskan ultramafic
11.409498,-5.0234833,Alaskan ultramafic
11.518952,-5.0702806,Alaskan ultramafic
1.5995072,8.954757,Alaskan ultramafic
1.5902377,8.933204,Alaskan ultramafic
1.5890265,8.931697,Alaskan ultramafic
13.648001,-6.824718,Alaskan ultramafic
13.714144,-6.8229957,Alaskan ultramafic
13.672302,-6.799671,Alaskan ultramafic
13.685934,-6.8010654,Alaskan ultramafic
13.757368,-6.2019134,Alaskan ultramafic
13.525646,-5.940782,Alaskan ultramafic
13.521291,-5.9228024,Alaskan ultramafic
13.490193,-5.9170294,Alaskan ultramafic
13.562985,-5.8413286,Alaskan ultramafic
13.500985,-5.891784,Alaskan ultramafic
13.724902,-6.7116003,Alaskan ultramafic
13.755982,-6.5919986,Alaskan ultramafic
13.766983,-6.565766,Alaskan ultramafic
13.748276,-6.565998,Alaskan ultramafic
13.786637,-6.581184,Alaskan ultramafic
13.717996,-6.524502,Alaskan ultramafic
13.735038,-6.608538,Alaskan ultramafic
13.518289,-6.576475,Alaskan ultramafic
13.781341,-6.5595098,Alaskan ultramafic
13.750874,-6.5713873,Alaskan ultramafic
-11.39331,5.1318955,Alaskan ultramafic
-11.393225,5.1324744,Alaskan ultramafic
-11.39019,5.129686,Alaskan ultramafic
-11.38932,5.134853,Alaskan ultramafic
-11.387361,5.124839,Alaskan ultramafic
-11.394105,5.1320705,Alaskan ultramafic
-11.3951235,5.131965,Alaskan ultramafic
-11.38834,5.117806,Alaskan ultramafic
-11.390182,5.1342144,Alaskan ultramafic
-11.38427,5.1316533,Alaskan ultramafic
-5.001718,19.018976,Alaskan ultramafic
-5.011154,19.009665,Alaskan ultramafic
-5.0256085,18.986319,Alaskan ultramafic
-5.0288405,18.994427,Alaskan ultramafic
-5.0627174,18.954609,Alaskan ultramafic
-5.0310946,18.989563,Alaskan ultramafic
-4.9601545,19.05476,Alaskan ultramafic
-5.027761,18.988947,Alaskan ultramafic
-5.0290904,18.993107,Alaskan ultramafic
-5.035996,18.988354,Alaskan ultramafic
-5.0112348,19.008516,Alaskan ultramafic
-5.0191813,19.005821,Alaskan ultramafic
-5.0298157,18.990595,Alaskan ultramafic
-4.977403,19.043524,Alaskan ultramafic
-5.0148273,19.0077,Alaskan ultramafic
-5.0274324,18.990072,Alaskan ultramafic
-5.0265427,18.997866,Alaskan ultramafic
-5.012254,18.975204,Alaskan ultramafic
-5.033256,18.97553,Alaskan ultramafic
-5.03527,18.982382,Alaskan ultramafic
-5.1050706,19.070889,Alaskan ultramafic
-5.0627017,18.957449,Alaskan ultramafic
-4.9818087,19.041124,Alaskan ultramafic
-5.0548735,19.012686,Alaskan ultramafic
-5.0363846,18.981731,Alaskan ultramafic
-5.041793,18.993414,Alaskan ultramafic
-5.0297604,18.99668,Alaskan ultramafic
-5.0305824,18.995834,Alaskan ultramafic
-5.0785646,18.929554,Alaskan ultramafic
-5.0344186,18.990643,Alaskan ultramafic
-5.0269604,18.997303,Alaskan ultramafic
-5.030984,18.99436,Alaskan ultramafic
-5.029237,18.996016,Alaskan ultramafic
-5.018676,18.991854,Alaskan ultramafic
-5.0273542,18.991245,Alaskan ultramafic
-5.0320077,18.989422,Alaskan ultramafic
-5.0284877,18.995525,Alaskan ultramafic
-5.01933,19.008364,Alaskan ultramafic
-5.0643063,18.956919,Alaskan ultramafic
-5.0738673,18.969072,Alaskan ultramafic
-5.060277,18.967148,Alaskan ultramafic
-4.991072,19.031645,Alaskan ultramafic
13.6404505,-6.8436823,Alaskan ultramafic
-4.9992514,19.025068,Alaskan ultramafic
-5.02446,18.997412,Alaskan ultramafic
-5.052455,18.969278,Alaskan ultramafic
13.569018,-6.019271,Alaskan ultramafic
13.466597,-5.8986726,Alaskan ultramafic
13.5450735,-6.007653,Alaskan ultramafic
13.4803095,-5.944677,Alaskan ultramafic
13.550961,-5.9047594,Alaskan ultramafic
13.486338,-5.9492874,Alaskan ultramafic
13.488195,-5.9481506,Alaskan ultramafic
13.561791,-6.024778,Alaskan ultramafic
13.459622,-5.9099197,Alaskan ultramafic
13.512669,-5.9632297,Alaskan ultramafic
13.5530815,-5.978035,Alaskan ultramafic
13.480828,-5.918925,Alaskan ultramafic
13.470095,-5.929415,Alaskan ultramafic
13.499438,-5.91912,Alaskan ultramafic
13.55959,-5.99817,Alaskan ultramafic
13.498603,-5.939718,Alaskan ultramafic
13.737272,-6.5642886,Alaskan ultramafic
13.743813,-6.5635624,Alaskan ultramafic
13.719933,-6.6184425,Alaskan ultramafic
13.723344,-6.5585036,Alaskan ultramafic
13.736993,-6.590573,Alaskan ultramafic
13.736703,-6.5342464,Alaskan ultramafic
13.785605,-6.6095285,Alaskan ultramafic
13.750973,-6.5695095,Alaskan ultramafic
13.929575,-6.295267,Alaskan ultramafic
13.557421,-5.9935613,Alaskan ultramafic
13.860778,-6.350972,Alaskan ultramafic
13.793861,-6.2007155,Alaskan ultramafic
13.802852,-6.3617053,Alaskan ultramafic
13.753379,-6.2225366,Alaskan ultramafic
13.903486,-6.296369,Alaskan ultramafic
13.73764,-6.158443,Alaskan ultramafic
13.808327,-6.3106294,Alaskan ultramafic
13.89556,-6.317011,Alaskan ultramafic
13.797208,-6.268058,Alaskan ultramafic
13.837872,-6.2566075,Alaskan ultramafic
13.873676,-6.295199,Alaskan ultramafic
13.77561,-6.2323933,Alaskan ultramafic
13.868415,-6.3079267,Alaskan ultramafic
13.530792,-5.9207487,Alaskan ultramafic
13.830045,-6.2782645,Alaskan ultramafic
13.480339,-5.9067655,Alaskan ultramafic
13.907118,-6.342924,Alaskan ultramafic
13.9214,-6.2716584,Alaskan ultramafic
13.831615,-6.174313,Alaskan ultramafic
13.669714,-6.122919,Alaskan ultramafic
13.834024,-6.387877,Alaskan ultramafic
13.840885,-6.392939,Alaskan ultramafic
13.823678,-6.402774,Alaskan ultramafic
13.8602085,-6.4191904,Alaskan ultramafic
13.8337145,-6.3764896,Alaskan ultramafic
13.80512,-6.35589,Alaskan ultramafic
13.796033,-6.387587,Alaskan ultramafic
13.834034,-6.368604,Alaskan ultramafic
13.78545,-6.3226037,Alaskan ultramafic
13.810195,-6.421622,Alaskan ultramafic
13.825134,-6.361765,Alaskan ultramafic
13.808629,-6.406538,Alaskan ultramafic
13.794319,-6.250297,Alaskan ultramafic
13.86034,-6.310596,Alaskan ultramafic
13.780966,-6.2255335,Alaskan ultramafic
13.740279,-6.1585846,Alaskan ultramafic
13.86096,-6.342657,Alaskan ultramafic
13.819218,-6.3585305,Alaskan ultramafic
13.880364,-6.348033,Alaskan ultramafic
13.871425,-6.3700395,Alaskan ultramafic
13.577717,-6.001906,Alaskan ultramafic
13.475347,-5.8700995,Alaskan ultramafic
13.52783,-5.95882,Alaskan ultramafic
13.5662,-5.869735,Alaskan ultramafic
13.518608,-5.9570026,Alaskan ultramafic
13.757514,-6.5124454,Alaskan ultramafic
13.756254,-6.463311,Alaskan ultramafic
