umap1,umap2,cat
-2.8475723,21.047255,Alaskan ultramafic
4.953826,8.535222,Alaskan ultramafic
-2.5862093,20.807707,Alaskan ultramafic
-2.7331116,20.93031,Alaskan ultramafic
4.9880958,8.542226,Alaskan ultramafic
4.944581,8.590474,Alaskan ultramafic
-2.5929549,20.814354,Alaskan ultramafic
-2.788131,20.98068,Alaskan ultramafic
4.928701,8.619545,Alaskan ultramafic
4.932732,8.625005,Alaskan ultramafic
4.9737344,8.547795,Alaskan ultramafic
-2.5911317,20.812609,Alaskan ultramafic
4.96669,8.566588,Alaskan ultramafic
-2.6686077,20.865318,Alaskan ultramafic
-2.713472,20.907238,Alaskan ultramafic
4.9851146,8.560914,Alaskan ultramafic
5.03215,8.516468,Alaskan ultramafic
4.9866085,8.554023,Alaskan ultramafic
4.9818993,8.559409,Alaskan ultramafic
4.9782915,8.572215,Alaskan ultramafic
4.980067,8.543468,Alaskan ultramafic
4.975874,8.561634,Alaskan ultramafic
4.96288,8.552027,Alaskan ultramafic
6.2452984,13.050621,Alaskan ultramafic
4.9828086,8.539224,Alaskan ultramafic
4.9772587,8.546438,Alaskan ultramafic
4.9838886,8.553357,Alaskan ultramafic
-2.5881941,20.810202,Alaskan ultramafic
-2.5529954,20.775272,Alaskan ultramafic
-2.584146,20.80674,Alaskan ultramafic
6.323101,13.068146,Alaskan ultramafic
5.772203,12.624867,Alaskan ultramafic
6.3015685,13.008016,Alaskan ultramafic
-0.16586082,8.2143345,Alaskan ultramafic
-10.549522,3.1947348,Alaskan ultramafic
-0.9998021,8.024577,Alaskan ultramafic
-1.0157487,8.020872,Alaskan ultramafic
6.3520184,12.933763,Alaskan ultramafic
6.4107947,12.914693,Alaskan ultramafic
6.365896,12.938367,Alaskan ultramafic
6.4231415,12.921585,Alaskan ultramafic
6.3363676,12.990427,Alaskan ultramafic
6.4362826,12.902785,Alaskan ultramafic
5.372773,9.7073765,Alaskan ultramafic
5.382993,9.712468,Alaskan ultramafic
5.38312,9.705722,Alaskan ultramafic
10.59841,-11.084239,Alaskan ultramafic
10.5973625,-11.084965,Alaskan ultramafic
10.563109,-11.041988,Alaskan ultramafic
10.610337,-11.087665,Alaskan ultramafic
10.66885,-11.25043,Alaskan ultramafic
-2.806089,21.011059,Alaskan ultramafic
-2.7355268,20.94305,Alaskan ultramafic
11.196313,-11.335356,Alaskan ultramafic
10.787692,-11.315215,Alaskan ultramafic
-2.7727096,20.97978,Alaskan ultramafic
10.569398,-10.972711,Alaskan ultramafic
10.6423,-11.2534685,Alaskan ultramafic
